label,cityLabel,countryLabel,population
新古季西卡,Q4322031,Ukraine,75
新戈羅傑齊克,Q4323457,Ukraine,129
烏利亞尼夫卡,Q4475108,Ukraine,179
亞維爾尼克,Q4536039,Ukraine,294
斯塔里齊亞,Starytsia,Ukraine,643
斯科莫羅什基,Skomoroshky,Ukraine,1435
先基夫西克,Senkivske,Ukraine,37
斯諾夫西克,Snovske,Ukraine,652
舍皮特,Q4522978,Ukraine,1752
塔塔里夫卡,Tatarivka,Ukraine,10
亞沃爾尼齊克,Yavornytske,Ukraine,106
蘇爾西科-利托夫西克,Sursko-Lytovske,Ukraine,4264
斯米基夫卡,Smykivka,Ukraine,38
舊斯塔夫,Starostav,Ukraine,189
多夫戈波列,Q4164657,Ukraine,610
大霍達克,Q4106568,Ukraine,181
新烏斯佩尼夫西克,Novouspenivske,Ukraine,55
沃洛瓦,Q4123619,Ukraine,230
希塔爾,Khitar,Ukraine,377
皮庫洛維奇,Pykulovychi,Ukraine,1624
波爾斯基塞諾韋茨,Polski Senovets,Bulgaria,552
克拉斯尼克,Q4238193,Ukraine,1086
克魯格列,Q4241976,Ukraine,41
庫濟緬基,Q4245305,Ukraine,60
科斯秋基夫卡,Q4235679,Ukraine,489
科斯馬奇,Q4234967,Ukraine,1517
佩列赫列斯涅,Q4350442,Ukraine,525
佩特拉什夫卡,Petrashіvka,Ukraine,2008
尼維-古賓西基,Q4318497,Ukraine,141
帕什基夫卡,Q4347611,Ukraine,775
新埃戈里夫卡,Novoiehorivka,Ukraine,36
普羅比尼夫卡,Q4379553,Ukraine,373
新皮利皮夫卡,Novopylypivka,Ukraine,705
波良基,Q4371510,Ukraine,604
波金,Q4367613,Ukraine,34
諾夫戈羅德,Novhorod,Ukraine,260
澤爾任西克,Prydnipryanske,Ukraine,313
多夫格,Dovhe,Ukraine,43
維德諾日涅,Vidnozhyne,Ukraine,567
德米特里夫卡,Q4162940,Ukraine,351
波丘伊基,Q4375443,Ukraine,794
里夫尼亞,Q4395320,Ukraine,556
里巴利西克,Q4401457,Ukraine,500
魯達埃韋,Q4399282,Ukraine,6
舍夫琴科,Shevchenko,Ukraine,104
斯捷布尼,Stebni,Ukraine,728
基茲利夫卡,Q4220355,Ukraine,842
克拉斯諾伊爾利亞,Q4238769,Ukraine,1282
普洛斯克,Ploske,Ukraine,999
伊利齊,Q4199968,Ukraine,1653
克利堅卡,Q4223431,Ukraine,352
扎什科維奇,Q4178375,Ukraine,580
亞布盧尼齊亞,Q4535847,Ukraine,853
什什基夫齊,Q4524824,Ukraine,263
什羅卡多利納,Q4524339,Ukraine,453
什里亞埃韋,Q4524526,Ukraine,196
希姆欽,Q4497783,Ukraine,3245
羅斯尼夫卡,Q4397854,Ukraine,207
巴爾溫基夫,Q4078061,Ukraine,291
布達爾基,Q4097974,Ukraine,253
比斯特列齊,Q4101111,Ukraine,362
庫馬喬韋,Kumachove,Ukraine,1903
韋謝拉吉爾卡,Vesela Hirka,Ukraine,103
普羅明,Promin,Ukraine,435
緬奇庫里,Menchykury,Ukraine,1527
戈盧比夫卡,Holubivka,Ukraine,3836
韋謝利夫西克,Veselivske,Ukraine,49
韋謝拉費多里夫卡,Vesela Fedorivka,Ukraine,150
佩爾紹特拉夫涅韋,Pershotravneve,Ukraine,51
哈里托尼夫卡,Q4495930,Ukraine,464
托皮利切,Topilche,Ukraine,204
斯基普切,Skypche,Ukraine,685
弗洛里夫卡,Q4491194,Ukraine,249
斯塔羅西利齊,Starosiltsi,Ukraine,770
斯特魯齊夫卡,Strutsivka,Ukraine,93
烏斯捷里基,Q4478201,Ukraine,746
亞羅什夫卡,Q4538987,Ukraine,114
秋季夫,Q4467366,Ukraine,2031
菲連科韋,Q4483847,Ukraine,897
斯圖傑尼齊亞,Studenytsia,Ukraine,1437
霍穆捷齊,Q4499647,Ukraine,2477
特拉奇,Trach,Ukraine,353
特里科普齊,Try Koptsi,Ukraine,55
舊佩特里夫卡,Staropetrivka,Ukraine,998
西羅瓦里,Syrovary,Ukraine,277
烏托羅皮,Q4478945,Ukraine,2218
伊薩基夫,Q4203657,Ukraine,875
卡利尼什夫卡,Q4210551,Ukraine,261
科帕尼,Kopani,Ukraine,256
斯塔伊謝,Staische,Ukraine,246
斯希德涅,Skhidne,Ukraine,103
斯捷帕尼夫卡德魯加,Stepanivka Druha,Ukraine,752
斯梅列奇卡,Smerechka,Ukraine,328
什羅克,Shyroke,Ukraine,140
新亞爾,Q4326860,Ukraine,65
德穆希夫齊,Q4163069,Ukraine,679
戈洛維,Q4142049,Ukraine,1599
戈羅德西克,Q4145468,Ukraine,406
格魯布西克,Q4150426,Ukraine,131
科托夫卡,Kotovka,Ukraine,2689
奧列西涅,Olesyne,Ukraine,532
新扎多瓦,Jadova Nouă,Ukraine,406
新斯洛比德卡,Novoslobidka,Ukraine,548
莫塔什夫卡,Q4304783,Ukraine,25
奧斯塔普基夫齊,Q4338530,Ukraine,544
帕爾霍米夫卡,Q4346252,Ukraine,473
帕齊科維奇,Q4347462,Ukraine,159
舍夫琴基夫西克,Shevchenkivske,Ukraine,38
普羅西夫齊,Q4381022,Ukraine,88
亞斯諾戈羅德,Q4539382,Ukraine,304
格洛多韋,Hlodove,Ukraine,104
奧利吉夫西克,Olhivske,Ukraine,102
涅夫西克,Nevske,Ukraine,728
莫先卡,Q4305386,Ukraine,518
克尼亞日德維爾,Knyazhdvir,Ukraine,1875
多利尼夫卡,Dolynivka,Ukraine,751
上亞謝尼夫,Q4108769,Ukraine,1205
傑米納巴爾卡,Q4157566,Ukraine,147
別爾比夫卡,Q4107475,Ukraine,3515
格拉莫特涅,Q4147681,Ukraine,371
格里尼亞瓦,Q4149716,Ukraine,904
維索基卡明,Q4129304,Ukraine,67
韋爾洛克,Q4107878,Ukraine,570
新扎季基,Novi Zhad'ky,Ukraine,102
古里尼夫卡,Q4152398,Ukraine,344
大拉多戈希,Q4106322,Ukraine,346
舍維亞基涅,Sheviakyne,Ukraine,198
布爾庫特,Q4099663,Ukraine,10
瓦西基夫齊,Q4105155,Ukraine,561
維普切,Q4111992,Ukraine,227
斯維特洛吉爾西克,Svitlohirske,Ukraine,1801
克里沃皮爾利亞,Q4240815,Ukraine,959
克里沃里夫尼亞,Q4240825,Ukraine,1493
庫強卡,Q4249746,Ukraine,480
科爾奇夫卡,Q4234532,Ukraine,244
波羅洪,Q4373154,Ukraine,225
波隆卡,Q4370641,Ukraine,1125
里米吉,Q4394664,Ukraine,122
舍夫琴科韋,Shevchenkove,Ukraine,601
赫維利,Khvyli,Ukraine,58
大普濟爾基,Q4106441,Ukraine,483
大波扎爾尼亞,Q4106320,Ukraine,136
大科什里夏,Q4106412,Ukraine,510
托波利涅,Topolyne,Ukraine,661
納巴泰,Nabatieh,Lebanon,120000
切列季夫,Q4512971,Ukraine,325
喬爾納里奇卡,Q4518621,Ukraine,357
蓋傑爾,Ghajar,Lebanon,2484
蓋傑爾,Ghajar,Syria,2484
切爾沃納多利納,Chervona Dolyna,Ukraine,80
切爾沃尼里韋齊,Q4512498,Ukraine,9
切爾加尼夫卡,Q4512561,Ukraine,994
薩姆哈島,Samhah,Yemen,171
泰尔,Tyre,Lebanon,135204
胡托羅-恰普利涅,Khutoro-Chaplyne,Ukraine,678
切列莫什納,Q4512735,Ukraine,650
楚楚林,Q4506230,Ukraine,445
